SKU,Barcode,MPN,Product Title,Product Description,Variant Image,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Cost per item,Compare At Price,Price,Inventory Quantity,Entrenue qty available,Inventory Quantity,Fluid Oz,Vendor,Material,Color,Main Category,Sub-Category,Size,Fulfillment Service,Inventory tracked,Image URL,Variant Inventory Policy,Variant Fulfillment Service,Requires Shipping,Variant Requires Shipping
32131,879959001891,HSCK002,Earthly Body Hemp Seed Edible Massage Candle Vanilla 4 oz.,"Fire things up with our sensual Hemp Seed Edible Massage Candle. This fun, heart-shaped candle melts into a sensual, moisturizing oil that can be used for a back or shoulder massage, while its subtle flavor adds a hint of fun for you and your partner to enjoy.KEY BENEFITS: Unique 3-in-1 formula to use as candle, oil, and moisturizer Smooths and nourishes skin Helps keep skin healthy and youthful looking Safe for tasting and licking off skin Ingredients: Hydrogenated Vegetable Oil, Glycine Soja Oil, Aroma (Flavor), Cannabis Sativa Seed Oil, Persea Gratissima Oil, Prunus Armeniaca Kernel Oil, Eugenol, Simmondsia Chinensis Seed Oil, Cocos Nucifera Oil, Tocopherol",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/32131.jpg?v=1674804644,,,,,,,,,,9.5,18.99,18.99,48,0,48,4,Earthly Body,Wax,Multi-Color,Massage and Body,"Candles,Massage",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/32131.jpg?v=1674804644,,",deny,manual,TRUE,TRUE
33954,879959001860,HSCK007,Earthly Body Hemp Seed Edible Massage Candle Grape 4 oz.,"Fire things up with our sensual Hemp Seed Edible Massage Candle. This fun, heart-shaped candle melts into a sensual, moisturizing oil that can be used for a back or shoulder massage, while its subtle flavor adds a hint of fun for you and your partner to enjoy.KEY BENEFITS: Unique 3-in-1 formula to use as candle, oil, and moisturizer Smooths and nourishes skin Helps keep skin healthy and youthful looking Safe for tasting and licking off skin Ingredients: Hydrogenated Vegetable Oil, Glycine Soja Oil, Aroma (Flavor), Cannabis Sativa Seed Oil, Persea Gratissima Oil, Prunus Armeniaca Kernel Oil, Eugenol, Simmondsia Chinensis Seed Oil, Cocos Nucifera Oil, Tocopherol",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/33954.jpg?v=1674804938,,,,,,,,,,9.5,18.99,18.99,32,0,32,4,Earthly Body,Wax,Multi-Color,Massage and Body,"Candles,Massage",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/33954.jpg?v=1674804938,,",deny,manual,TRUE,TRUE
34104,796494401767,40176,JO H2O Peachy Lips Flavored Water-Based Lubricant 4 oz.,"JO H2O Peachy Lips flavored lubricant lets you enjoy the fleshy richness of peaches. Featuring a water-based formula and the added flavor of bright and sweet peaches, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment, particularly oral play. And when youre done, it cleans off easily and leaves your skin feeling soft and moisturized. Silky-Smooth Feel Cleans Easily with Water Non-Staining No Sugar Added Does Not Contain Alcohol Great for Solo or Partner Play Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Glycerin, Water (Aqua), Flavor (Aroma), Cellulose Gum, Methylparaben, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104A.jpg?v=1714494850,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104B.jpg?v=1714494850,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104C.jpg?v=1714494850,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104D.jpg?v=1714494850,,,,,,,10.28,24.49,0,56,0,56,4,System JO,Liquid,Clear,Lubricants and Toy Cleaners,"Flavored,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104A.jpg?v=1714494850,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104B.jpg?v=1714494850,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34104C.jpg?v=1714494850",deny,manual,TRUE,TRUE
34105,796494401729,40172,JO H2O Juicy Pineapple Flavored Water-Based Lubricant 4 oz.,"JO H2O Juicy Pineapple flavored lubricant lets you enjoy the citrusy sweetness of pineapples. Featuring a water-based formula and juicy, ripe pineapple flavoring, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment, particularly oral play. And when youre done, it cleans off easily and leaves your skin feeling soft and moisturized. Silky-Smooth Feel Cleans Easily with Water Non-Staining No Sugar Added Does Not Contain Alcohol Great for Solo or Partner Play Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Glycerin, Water (Aqua), Flavor (Aroma), Cellulose Gum, Methylparaben, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105A.jpg?v=1714494857,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105B.jpg?v=1714494857,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105C.jpg?v=1714494857,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105D.jpg?v=1714494857,,,,,,,10.28,19,0,91,0,91,4,System JO,Liquid,Clear,Lubricants and Toy Cleaners,"Flavored,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105A.jpg?v=1714494857,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105B.jpg?v=1714494857,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/34105C.jpg?v=1714494857",deny,manual,TRUE,TRUE
37045,796494402153,40215,JO Arctic Clitoral Stimulant 0.34 oz.,"JO Arctic Clitoral Stimulant, our most intense cooling formula, slowly builds to an icy sensation that invigorates and enhances every caress and swirl. Its premium silicone formula stays right where you put it and is water resistant for long lasting play in the shower, tub, or jacuzzi. Perfect for both solo and partnered exploration, it pairs especially well with vibrating toys and oral pleasure. 0.34 Fluid Ounces Intense Cooling Sensation Lasts Up To 45 Minutes Preservative-Free Includes Highest Quality Silicones Perfect For Solo & Partner Play Not Compatible with Polyurethane Condoms Compatible with Most Toys Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol, Menthol",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045A.jpg?v=1714495247,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045B.jpg?v=1714495247,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045C.jpg?v=1714495248,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045D.jpg?v=1714495248,,,,,,,13.63,31.99,0,30,0,30,0.34,System JO,Liquid,Clear,,"Arousal Gels Creams and Balms,Female Arousal",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045A.jpg?v=1714495247,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045B.jpg?v=1714495247,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37045C.jpg?v=1714495248",deny,manual,TRUE,TRUE
37046,796494402160,40216,JO Prolonger Benzocaine Desensitizing Spray 2 oz.,"JO Prolonger Spray is perfect for extended play and allows you to enjoy every single stroke together. Formulated using the maximum strength 7.5% benzocaine, our fast-acting, quick-drying spray allows you to last longer for more pleasure and a closer connection. Glycerin Free Max Strength 7.5% Benzocaine Prevents Premature Ejaculation Quick Drying Spray Topical Desensitizer Compatible with Most Toys Not Compatible with Polyurethane Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Active Ingredient: Benzocaine 7.5%Inactive Ingredients: PEG-8, Propylene Glycol, Water (Aqua)",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046A.jpg?v=1714495253,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046B.jpg?v=1714495253,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046C.jpg?v=1714495253,,,,,,,,13.3,31.49,0,19,0,19,2,System JO,Liquid,Clear,,"Desensitizers and Relaxers,Male Arousal",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046A.jpg?v=1714495253,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046B.jpg?v=1714495253,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37046C.jpg?v=1714495253",deny,manual,TRUE,TRUE
37366,879959004717,HPL002,Water Slide Lubricant 4oz.,"Waterslide Lubricant (4oz)Waterslide Lubricant is a water-based non-toxic, non-staining, odorless, and vegan lube. It features natural carrageenan extract (from red algae seaweed) and no silicones, petroleums, parabens, sticky glycerins or preservatives. It was formulated with women in mind so itft.s safe and gentle. The pure and simple ingredients give incredible natural lubrication. Itft.s also compatible with condoms, diaphragms and toys.",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37366A.jpg?v=1714495370,,,,,,,,,,7,13.99,13.99,135,0,135,4,Earthly Body,Liquid,Blue,,Water-Based,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37366A.jpg?v=1714495370,,",deny,manual,TRUE,TRUE
37505,894757001317,894757001317,Aneros Progasm Ice Prostate Stimulator,"Aneros Progasm (Ice)The Aneros Progasm is the newest member of the Aneros family. The Progasm is the largest Aneros to date. It features a newly designed round perineum tab and also boasts a Kundalini in.K-Tab.in. The in.K-Tabin. adds sensations up and down your back that are complementary to the sensations from the prostate. Mobility is a key to success with our products, and despite its size the Progasm moves inside the manft.s body to provide a robust prostate massage for incredible pleasure. Largest Aneros model Round perineum tab design Kundalini in.K-Tabin. provides additional sensations Has size, but is very mobile For advanced and experienced users",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37505A.jpg?v=1714495374,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37505B.jpg?v=1714495374,,,,,,,,,30,60,59.95,1,3,4,,Aneros,Plastic,Gray,,"Prostate,Prostate Toys",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37505A.jpg?v=1714495374,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/37505B.jpg?v=1714495374,",deny,manual,TRUE,TRUE
38167,796494101780,10178,JO Classic Hybrid Lubricant 1 oz.,"JO Classic Hybrid lubricant is the perfect combination of our popular silicone formula and our ultra-versatile water-based formula that elevates every intimate moment to a rich sensual experience. Its the uncompromising best of both worlds  the long-lasting glide and buttery smooth texture of silicone and the easy clean up of water-based options. Perfect for solo, toys, and partnered pleasure, JO Classic Hybrid takes every touch and sensation over the edge. Paraben, Glycerin, & Oil Free Silicone & Water-Based Formula Water Resistant Long-Lasting Glide Buttery Smooth Texture Easy To Clean Perfect for Solo, Toy or Partner Play Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Propylene Glycol, Water (Aqua), Phenoxyethanol, Dimethicone, Cellulose Gum, Cyclopentasiloxane, Sodium Polyacrylate Trideceth-6, PEG/PPG-18/18 Dimethicone",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167A.jpg?v=1714495414,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167B.jpg?v=1714495414,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167C.jpg?v=1714495414,,,,,,,,6.24,14.49,0,117,0,117,1,System JO,Liquid,Clear,,"Hybrid,Silicone-Based,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167A.jpg?v=1714495414,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167B.jpg?v=1714495414,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/38167C.jpg?v=1714495414",deny,manual,TRUE,TRUE
41267,796494102329,10232,JO H2O Cooling Water-Based Lubricant 1oz.,"H2O Cooling has the performance of our most popular water-based lubricant, but with the added benefit of a refreshing cooling sensation that enhances all types of play. Its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment. And when youft.re done, it cleans off easily and leaves your skin feeling soft and moisturized. Silky-Smooth Feel Cooling Sensation Easy To Clean Non-Staining Most Versatile Formula Great for Solo or Partner Play Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Water (Aqua), Glycerin, Polysorbate 20, Propylene Glycol, Hydroxyethylcellulose, Chlorphenesin, Mentha Piperita (Peppermint) Leaf Extract",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267A.jpg?v=1714496167,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267B.jpg?v=1714496167,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267C.jpg?v=1714496167,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267D.jpg?v=1714496168,,,,,,,4.68,10.99,0,121,0,121,1,System JO,Liquid,Clear,,"Warming Cooling and Stimulating,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267A.jpg?v=1714496167,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267B.jpg?v=1714496167,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/41267C.jpg?v=1714496167",deny,manual,TRUE,TRUE
42503,796494101452,10145,JO All-In-One Sensual Massage Glide Fragrance Free 1 oz.,"JO All-In-One Sensual Massage Glide is our premium silicone-based massage formula, offering a long-lasting, buttery feel that enhances every stroke and caress. Smooth and satisfying, it dries down to a matte, soft-touch finish. One drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner to seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503A.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503B.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503C.jpg?v=1714496570,,,,,,,,4.75,10.99,0,39,0,39,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503A.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503B.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503C.jpg?v=1714496570",deny,manual,TRUE,TRUE
42504,796494101469,10146,JO All-In-One Sensual Massage Glide Lavender 1 oz.,"Lavender Fields scented All-In-One Sensual Massage Glide features our premium silicone-based massage formula and offers a long-lasting buttery feel that enhances every stroke and caress. Smooth and satisfying, it dries down to a matte, soft-touch finish. Set the mood with the enticing lavender scent and apply sparingly - one drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner to seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol, Lavandula Angustifolia (Lavender) Oil",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504A.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504B.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504C.jpg?v=1714496576,,,,,,,,4.75,10.99,0,22,0,22,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504A.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504B.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504C.jpg?v=1714496576",deny,manual,TRUE,TRUE
42506,796494101483,10148,JO All-In-One Sensual Massage Glide Warming 1 oz.,"JO All-In-One Sensual Massage Glide Warm Embrace is our premium silicone-based massage formula, offering a long-lasting buttery feel and a gentle warming sensation. Smooth and satisfying, it dries down to a matte, soft-touch finish. One drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner so seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol, Capsicum Frutescens Fruit Extract",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506A.jpg?v=1714496581,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506B.jpg?v=1714496582,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506C.jpg?v=1714496582,,,,,,,,4.75,10.99,0,55,0,55,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506A.jpg?v=1714496581,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506B.jpg?v=1714496582,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506C.jpg?v=1714496582",deny,manual,TRUE,TRUE
